STATION	NAME	LAT	LON	HGT	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OKT	NOV	DEZ	YEAR
1	"Aach                                    "	47.841299	8.849299	478.000000	51.100000	45.000000	45.900000	54.000000	79.300000	96.900000	87.600000	94.700000	58.100000	50.100000	63.500000	51.800000	777.900000
2	"Aachen (Kl_ranlage)                     "	50.806581	6.099638	138.000000	61.900000	52.300000	61.100000	56.300000	72.200000	78.600000	77.400000	72.200000	53.700000	58.700000	67.700000	75.400000	787.500000
3	"Aachen                                  "	50.782659	6.094087	202.000000	62.200000	56.600000	66.400000	63.200000	74.900000	82.200000	79.800000	75.800000	59.200000	63.000000	71.900000	73.100000	828.300000
4	"Aachen-Brand                            "	50.768313	6.120705	243.000000	68.700000	63.900000	70.200000	67.700000	78.500000	91.700000	78.300000	74.400000	59.100000	61.300000	77.100000	82.000000	872.800000
7	"Aalen-Unterkochen                       "	48.813993	10.128509	473.000000	72.400000	62.700000	65.900000	77.100000	94.000000	110.000000	84.300000	86.300000	63.800000	62.900000	75.900000	75.500000	930.700000
8	"Aarbergen-Panrod                        "	50.254621	8.130986	307.000000	46.400000	40.800000	45.600000	47.300000	65.700000	72.300000	63.800000	63.800000	44.800000	51.300000	56.500000	54.700000	652.900000
10	"Abbach,Bad-D_nzling                     "	48.885697	12.107925	378.000000	49.900000	45.200000	44.900000	46.400000	60.800000	84.300000	73.200000	78.300000	52.100000	47.200000	53.600000	55.500000	691.300000
12	"Abbensen                                "	52.381385	10.185956	61.000000	49.500000	38.900000	46.100000	46.400000	62.100000	77.700000	64.000000	62.500000	49.900000	39.800000	50.100000	57.500000	644.600000
15	"Abenberg                                "	49.234630	10.966755	390.000000	46.000000	40.500000	47.200000	52.900000	71.900000	78.900000	66.300000	65.200000	51.500000	45.900000	45.800000	51.900000	664.000000
16	"Abenberg-Wassermungenau                 "	49.219251	10.884495	370.000000	52.200000	46.100000	49.000000	56.300000	70.000000	80.200000	65.000000	64.700000	49.200000	47.200000	51.000000	58.500000	689.400000
17	"Abensberg-Sandharlanden                 "	48.842100	11.819366	380.000000	53.000000	44.500000	43.200000	48.700000	74.500000	95.000000	74.400000	80.600000	60.200000	51.600000	56.500000	57.800000	740.100000
19	"Abtsgm_nd-Neubronn                      "	48.879484	9.970959	471.000000	64.300000	58.200000	57.900000	63.800000	82.800000	94.600000	74.100000	83.700000	57.000000	56.400000	66.200000	68.600000	827.600000
20	"Abtsgm_nd-Untergr_ningen                "	48.921959	9.912869	432.000000	80.100000	66.400000	70.400000	66.500000	88.400000	103.200000	80.600000	95.400000	63.600000	64.000000	76.700000	81.200000	936.600000
21	"Achberg-Doberatsweiler                  "	47.610529	9.698282	498.000000	84.800000	75.600000	77.300000	110.700000	136.600000	159.400000	145.600000	160.000000	121.000000	85.800000	96.400000	86.700000	1339.900000
22	"Achern-Fautenbach                       "	48.631737	8.046643	138.000000	68.600000	63.600000	68.600000	75.500000	104.900000	114.200000	90.000000	93.300000	79.100000	69.300000	84.200000	78.500000	989.900000
23	"Achim-Embsen                            "	53.031114	9.023290	8.000000	59.500000	40.400000	50.800000	48.500000	65.100000	72.200000	74.300000	73.700000	59.900000	53.300000	63.200000	63.600000	724.400000
25	"Adelberg                                "	48.766700	9.600000	474.000000	79.400000	64.500000	74.700000	84.500000	107.300000	122.600000	97.200000	99.700000	75.800000	71.200000	85.400000	82.700000	1045.000000
26	"Adelheidsdorf                           "	52.550265	10.054374	41.000000	55.600000	43.700000	46.000000	47.400000	57.800000	77.500000	75.600000	66.600000	52.700000	44.700000	55.900000	62.500000	685.900000
27	"Adelholzen, Bad                         "	47.816700	12.616700	657.000000	108.700000	96.100000	113.700000	133.200000	166.500000	211.300000	199.000000	198.200000	127.700000	100.400000	121.500000	118.200000	1694.600000
28	"Adelmannsfelden                         "	48.953977	10.006025	470.000000	72.900000	67.500000	67.300000	70.600000	87.900000	103.700000	80.900000	95.600000	59.600000	64.400000	75.100000	82.000000	927.500000
29	"Adelsdorf (Kl_ranlage)                  "	49.717494	10.910084	260.000000	48.000000	41.800000	51.100000	48.300000	63.700000	79.500000	66.200000	59.900000	51.200000	49.300000	51.200000	59.300000	669.300000
30	"Adelsheim                               "	49.406422	9.391409	260.000000	72.800000	61.700000	66.400000	55.900000	67.700000	80.500000	68.000000	65.400000	53.100000	63.100000	70.900000	84.000000	809.400000
31	"Adendorf                                "	53.283300	10.433300	25.000000	55.400000	37.100000	49.600000	47.000000	62.100000	63.900000	67.800000	67.600000	56.100000	47.100000	56.500000	58.400000	668.600000
32	"Adenstedt                               "	52.000000	9.933300	194.000000	63.500000	43.900000	57.800000	61.200000	72.000000	73.300000	66.700000	67.100000	51.200000	47.500000	58.900000	75.700000	738.800000
33	"Aderstedt                               "	52.028630	10.999436	93.000000	34.800000	30.800000	38.700000	42.600000	48.500000	66.200000	46.800000	61.300000	36.100000	31.500000	39.400000	44.400000	521.300000
35	"Adorf                                   "	50.311960	12.287506	480.000000	51.100000	47.900000	50.200000	54.100000	72.200000	82.300000	67.900000	87.200000	52.500000	47.400000	48.900000	57.200000	718.900000
36	"Aerzen-Reher                            "	52.030821	9.235006	115.000000	89.800000	64.600000	81.100000	70.600000	80.500000	96.200000	91.600000	90.300000	76.000000	66.200000	89.100000	106.400000	1002.400000
37	"Affing                                  "	48.461238	10.979492	470.000000	39.900000	40.200000	38.900000	57.800000	83.000000	108.300000	92.800000	88.400000	63.600000	47.600000	53.100000	44.500000	758.000000
38	"Ahaus (Wieselweg)                       "	52.090009	7.009547	52.000000	75.500000	52.200000	66.800000	56.300000	65.300000	75.500000	74.700000	72.900000	69.400000	60.300000	78.100000	85.700000	832.800000
40	"Ahlbeck                                 "	53.667369	14.182304	5.000000	42.500000	30.600000	40.800000	42.900000	51.700000	60.300000	61.400000	61.600000	48.500000	39.700000	51.600000	53.200000	584.700000
