STATION	NAME	LAT	LON	HGT	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OKT	NOV	DEZ	YEAR
3	"Aachen                                  "	50.782659	6.094087	202.000000	2.400000	2.800000	5.400000	8.400000	12.800000	15.600000	17.300000	17.100000	14.400000	10.800000	6.100000	3.400000	9.700000
44	"Gro_enkneten                            "	52.933597	8.237038	43.500000	0.900000	1.200000	4.100000	7.400000	12.100000	15.200000	16.500000	16.400000	13.500000	9.600000	5.100000	2.000000	8.700000
52	"Ahrensburg-Wulfsdorf                    "	53.662339	10.199036	46.000000	0.100000	0.500000	3.300000	6.800000	11.600000	15.000000	16.200000	16.000000	13.100000	9.300000	4.700000	1.300000	8.200000
70	"Albstadt-Ebingen                        "	48.205158	9.037070	712.000000	-2.400000	-1.300000	1.800000	5.800000	10.300000	13.500000	15.600000	14.800000	11.700000	7.100000	1.700000	-1.700000	6.400000
71	"Albstadt-Badkap                         "	48.215550	8.978387	759.000000	-1.400000	0.000000	2.900000	6.400000	10.800000	13.900000	16.200000	15.500000	12.500000	8.200000	2.900000	-0.300000	7.300000
72	"Albstadt-Onstmettingen                  "	48.276550	9.000074	794.000000	-2.000000	-1.100000	1.800000	5.300000	9.900000	13.100000	15.100000	14.400000	11.500000	7.300000	2.100000	-1.000000	6.400000
73	"Aldersbach-Kriestorf                    "	48.615935	13.050595	340.000000	-2.300000	-0.400000	3.600000	8.300000	13.100000	16.200000	17.800000	17.200000	13.600000	8.300000	3.100000	-0.700000	8.100000
78	"Alfhausen                               "	52.485314	7.912553	65.000000	1.100000	1.600000	4.400000	7.800000	12.500000	15.500000	16.800000	16.600000	13.600000	9.700000	5.200000	2.300000	8.900000
91	"Alsfeld-Eifa                            "	50.744591	9.344972	300.000000	-0.700000	0.000000	3.200000	6.800000	11.400000	14.600000	16.300000	15.800000	12.700000	8.500000	3.500000	0.500000	7.700000
106	"Altenau                                 "	51.797554	10.442925	500.000000	-1.900000	-1.500000	1.200000	4.500000	9.800000	13.100000	14.500000	13.900000	11.100000	7.300000	2.400000	-0.600000	6.200000
116	"Altenburg                               "	50.983300	12.433300	213.000000	-0.400000	0.500000	4.000000	8.200000	13.100000	16.400000	18.100000	17.600000	14.200000	9.200000	4.200000	1.000000	8.800000
142	"Altom_nster-Maisbrunn                   "	48.406038	11.311716	510.000000	-2.100000	-0.600000	3.000000	7.100000	11.800000	15.000000	16.700000	16.100000	12.900000	7.900000	2.800000	-0.700000	7.500000
150	"Alzey                                   "	49.727300	8.116356	215.000000	0.800000	1.600000	5.200000	8.900000	13.500000	16.600000	18.300000	17.800000	14.300000	9.600000	4.700000	1.800000	9.400000
151	"Amberg-Unterammersricht                 "	49.469064	11.854641	383.000000	-2.000000	-0.400000	3.300000	7.600000	12.400000	15.500000	17.100000	16.500000	13.100000	8.200000	2.900000	-0.500000	7.800000
164	"Angerm_nde                              "	53.031558	13.990820	53.900000	-1.200000	-0.300000	3.000000	7.400000	12.700000	16.200000	17.500000	17.100000	13.400000	9.000000	4.100000	0.600000	8.300000
169	"Annaberg-Buchholz                       "	50.573012	13.005262	630.000000	-2.200000	-1.600000	1.700000	5.600000	10.500000	13.800000	15.200000	15.100000	12.100000	8.100000	2.400000	-0.900000	6.600000
172	"Annaturm                                "	52.248598	9.505562	395.000000	-1.500000	-0.600000	2.100000	5.900000	10.600000	13.300000	14.800000	14.900000	11.700000	8.000000	3.100000	-0.300000	6.800000
175	"Ansbach                                 "	49.296441	10.575139	413.000000	-1.100000	0.200000	3.600000	7.700000	12.600000	16.000000	17.900000	17.100000	13.600000	8.700000	3.400000	0.100000	8.300000
176	"Ansbach-Claffheim                       "	49.247546	10.582638	481.000000	-1.800000	-0.500000	2.900000	7.000000	11.600000	14.700000	16.500000	16.000000	12.800000	8.200000	2.800000	-0.500000	7.500000
183	"Arkona                                  "	54.679160	13.434252	42.000000	0.200000	0.200000	2.100000	5.000000	9.700000	14.100000	16.200000	16.500000	13.600000	9.900000	5.300000	2.000000	7.900000
186	"Arnsberg                                "	51.377293	8.071289	217.900000	0.900000	1.300000	3.900000	7.100000	11.800000	14.800000	16.200000	15.700000	12.800000	9.200000	4.800000	1.900000	8.400000
191	"Arnstein-M_desheim                      "	49.969460	9.911327	220.000000	-0.300000	0.900000	4.300000	8.300000	12.500000	15.900000	17.700000	17.200000	13.700000	9.400000	3.900000	0.800000	8.700000
193	"Arolsen-Neu Berich                      "	51.384495	9.082036	232.000000	-0.200000	0.200000	3.200000	6.600000	11.400000	14.700000	16.200000	15.700000	12.700000	8.700000	4.000000	1.000000	7.800000
198	"Artern                                  "	51.374461	11.291977	164.000000	-0.700000	0.100000	3.700000	7.900000	12.700000	16.000000	17.600000	17.300000	13.900000	9.300000	4.100000	0.700000	8.500000
211	"A_lar Klein-Altenst_dten                "	50.579959	8.468468	200.000000	0.000000	0.700000	4.000000	7.800000	12.300000	15.600000	16.900000	16.400000	13.100000	8.500000	3.900000	1.100000	8.400000
217	"Attenkam                                "	47.877407	11.364245	672.000000	-1.400000	-0.300000	3.000000	6.600000	11.200000	14.500000	16.500000	15.900000	13.100000	8.500000	3.300000	-0.400000	7.500000
221	"Au i.d.Hallertau-G_nzenhausen           "	48.551532	11.711686	483.000000	-2.000000	-0.300000	3.300000	7.500000	12.200000	15.400000	17.200000	16.400000	13.300000	8.300000	3.100000	-0.900000	7.800000
222	"Aue                                     "	50.590707	12.714005	387.000000	-0.800000	-0.100000	3.300000	7.000000	11.900000	15.100000	16.600000	16.300000	13.100000	9.100000	4.000000	0.700000	8.000000
231	"Augsburg (Sankt Stephan)                "	48.372348	10.894805	490.000000	-0.900000	0.500000	4.300000	8.100000	12.700000	15.800000	17.700000	17.000000	13.800000	9.000000	3.600000	0.200000	8.500000
232	"Augsburg                                "	48.425393	10.942011	461.400000	-1.500000	-0.100000	3.500000	7.500000	12.200000	15.500000	17.300000	16.700000	13.300000	8.400000	3.100000	-0.300000	8.000000
