"X";"Y";"ID";"Elevation (ft)"
32000;87015;1;-7888
38600;87030;2;-8020
44000;86400;3;-7943
48200;87060;4;-8003
30650;82200;5;-7918
35030;80901;6;-7905
39476;80970;7;-7900
44198;80910;8;-7998
33530;76230;9;-7879
38024;76170;10;-7817
42440;76650;11;-8018
46955;76620;12;-7890
30350;71700;13;-7903
35195;71745;14;-7815
39650;71760;15;-7966
44180;71766;16;-7913
48800;70215;17;-7818
29240;81960;1610;-7920
32270;83760;1614;-7923
33770;84720;1616;-7918
35240;85590;1618;-7927
36740;86520;1620;-7969
39680;88350;1624;-8043
41240;89250;1626;-8059
29840;67560;2068;-7932
31280;66600;2070;-7883
32720;65610;2072;-7842
34190;64650;2074;-7842
35720;63720;2076;-7874
37100;62700;2078;-7871
31730;63000;3078;-7740
33500;63720;3080;-7799
36680;65160;3084;-7902
38300;65790;3086;-7943
39830;66540;3088;-7962
41420;67200;3090;-7967
43010;67920;3092;-7931
44690;68580;3094;-7876
46250;69300;3096;-7854
30200;76500;4546;-7849
31640;75420;4548;-7880
33080;74280;4550;-7869
34520;73260;4552;-7820
37280;71070;4556;-7892
38660;70020;4558;-7965
40040;69000;4560;-8008
41450;67890;4562;-7986
42800;66900;4564;-7922
44240;65730;4566;-7852
45500;64710;4568;-7773
33800;89220;5003;-7896
34880;87720;5005;-7915
35840;86280;5007;-7943
37040;84720;5010;-7948
37940;83160;5012;-7928
40784;79260;5018;-7923
42740;75120;5022;-8004
43730;74610;5024;-8001
44660;73200;5026;-7927
45680;71700;5028;-7877
46760;70200;5030;-7857
47600;68790;5032;-7824
48500;67380;5034;-7768
49520;65940;5036;-7696
42320;89100;6192;-8032
43700;88080;6194;-7971
45080;87000;6196;-7946
46520;86010;6198;-7973
47900;85050;6200;-8003
49400;84000;6202;-8032
