"ID","Easting (ft)","Northing (ft)","Formation thickness (ft)","Upper J (ft)","Lower J (ft)","Kiowa (ft)","Cheyenne (ft)"
5,1631797,546606,286,0,27,0,54.4
9,1635275,545570,280,13,9,2,58.3
12,1641860,545503,279,95,112,83.3,68.1
31,1630041,536362,340,33,96,56.3,49.1
32,1631291,535016,341,28.5,80,20.5,14.5
38,1643084,532306,273,17.9,51,8.9,30.5
40,1643137,534940,,2,42,2,23.6
42,1648014,533313,,73,70,32.6,60.1
48,1658548,530399,257.5,53.7,75,8.9,47.2
49,1660208,529439,230.5,6,34,8.9,52.1
50,1657520,526895,,22,6,0,19.7
52,1658854,526844,230,,,,
57,1652223,524384,257,2.1,58,25.8,21.6
59,1619712,547175,298.5,0,69.5,0.5,38.5
60,1607855,548835,316.5,16,94,0,33
61,1598543,549051,296.5,0.5,96,0,21
64,1611762,544744,,38.3,84,1.5,70.5
68,1618670,544228,275.5,8.5,90,39,69.5
69,1617687,544248,288.5,1.5,63,0,33
70,1622289,544483,277.5,26.5,89,9.5,68
72,1626236,543077,283.5,46.5,73,0,50
75,1627484,539064,317,19,74,23.5,31
76,1620905,539390,315,95.5,55.5,11,37
79,1617557,536348,318.5,91,91.5,47.5,43
80,1610319,538152,256.5,0.5,0,0,50
81,1604730,539296,314,0,0.5,0,43
82,1606034,539265,290.5,56.5,11.5,16,37
83,1598477,541111,316,16,16.5,12.5,52.5
84,1602404,538352,334.5,166.5,120,102.5,76
85,1602364,535691,317.5,31,19,23,49.5
87,1598759,534150,302,1,14.5,11,51
88,1599379,532145,292,25.5,25.5,8,40.5
89,1604990,534296,259.5,3,11,0,32
91,1616880,535363,328.5,5.5,45.5,10.5,44.5
92,1618118,531339,308.5,62.5,51,36.5,55
93,1623388,531203,325.5,3,69,0,4
94,1626054,532477,303.5,5,0,5,7.5
95,1627411,535098,336,48,74.5,53,44
97,1627694,531443,277,18.5,7,0,0
101,1615428,527431,298.5,36,0,0,32.5
104,1598727,530844,302,38.5,58,0,35.5
105,1600941,526476,305.5,73,92,27.5,80.5
106,1616657,523435,290,34.5,2.5,3,24.5
107,1617968,522083,296.5,105,78.5,21,23
108,1619267,520414,,3.5,6.5,58.5,53
109,1623278,524586,273,40.5,14,18.5,37.5
112,1593222,549092,294.5,24,38.5,0,30.5
113,1595911,551702,295,20.5,31,0,8
114,1589279,551731,287.5,40,22,22,23
